"","Lat","Lon","rf.temp.jan","rf.temp.feb","rf.temp.mar","rf.temp.apr","rf.temp.may","rf.temp.jun","rf.temp.jul","rf.temp.aug","rf.temp.sep","rf.temp.oct","rf.temp.nov","rf.temp.dec"
"2",49.97234625,-97.88438394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",49.97234625,-97.79277748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",49.97234625,-97.70117102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",49.97234625,-97.60956456,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",49.97234625,-97.5179581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",49.97234625,-97.42635164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",49.97234625,-97.33474518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",49.97234625,-97.24313872,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",49.97234625,-97.15153227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",49.97234625,-97.05992581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",49.97234625,-96.96831935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",49.97234625,-96.87671289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",49.97234625,-96.78510643,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15",49.97234625,-96.69349997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16",49.97234625,-96.60189351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17",49.97234625,-96.51028705,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",49.97234625,-96.4186806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",49.97234625,-96.32707414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20",49.97234625,-96.23546768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21",49.97234625,-96.14386122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",49.97234625,-96.05225476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",49.97234625,-95.9606483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",49.97234625,-95.86904184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",49.97234625,-95.77743538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",49.97234625,-95.68582893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27",49.97234625,-95.59422247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28",49.97234625,-95.50261601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29",49.97234625,-95.41100955,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30",49.97234625,-95.31940309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31",49.97234625,-95.22779663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32",49.97234625,-95.13619017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33",49.97234625,-95.04458371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34",49.97234625,-94.95297726,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35",49.97234625,-94.8613708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36",49.97234625,-94.76976434,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37",49.97234625,-94.67815788,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38",49.97234625,-94.58655142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39",49.97234625,-94.49494496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40",49.97234625,-94.4033385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41",49.97234625,-94.31173204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42",49.97234625,-94.22012559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43",49.97234625,-94.12851913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44",49.97234625,-94.03691267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",49.97234625,-93.94530621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",49.97234625,-93.85369975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47",49.97234625,-93.76209329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48",49.97234625,-93.67048683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49",49.97234625,-93.57888037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50",49.97234625,-93.48727392,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51",49.97234625,-93.39566746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"52",49.97234625,-93.304061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53",49.97234625,-93.21245454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54",49.97234625,-93.12084808,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55",49.97234625,-93.02924162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"56",49.97234625,-92.93763516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"57",49.97234625,-92.8460287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58",49.97234625,-92.75442225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59",49.97234625,-92.66281579,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60",49.97234625,-92.57120933,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61",49.97234625,-92.47960287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62",49.97234625,-92.38799641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63",49.97234625,-92.29638995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"64",49.97234625,-92.20478349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65",49.97234625,-92.11317703,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66",49.97234625,-92.02157058,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67",49.97234625,-91.92996412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
